IM,Genes
IM-0,"['lp_0405', 'lp_0483', 'lp_0680', 'lp_2476']"
IM-1,"['lp_2809', 'lp_2810', 'lp_0304', 'lp_0302', 'lp_2845', 'lp_3050', 'lp_3014']"
IM-2,"['lp_1818', 'lp_0635', 'lp_3560', 'lp_0641', 'lp_0642', 'lp_0633', 'lp_0939', 'lp_0267', 'lp_3559', 'lp_0269', 'lp_0922', 'lp_0445', 'lp_0268', 'lp_0444', 'lp_1816', 'lp_3568', 'lp_2429', 'lp_0634', 'lp_1817', 'lp_1858', 'lp_3561']"
IM-4,"['lp_2451', 'lp_2400', 'lp_0640', 'lp_3560', 'lp_3569', 'lp_3554', 'lp_0641', 'lp_0642', 'lp_3570', 'lp_2449', 'lp_3558', 'lp_0168', 'lp_3553', 'lp_3555', 'lp_3129', 'lp_3135', 'lp_3559', 'lp_1953', 'lp_0630', 'lp_3556', 'lp_3034', 'lp_3136', 'lp_3552', 'lp_3164', 'lp_3290', 'lp_3568', 'lp_2863', 'lp_3132', 'lp_2429', 'lp_0169', 'lp_2430', 'lp_3291', 'lp_3557', 'lp_3131', 'lp_3133']"
IM-5,"['lp_0632', 'lp_3537', 'lp_3539', 'lp_2429', 'lp_3540', 'lp_3541', 'lp_3542', 'lp_0628', 'lp_0633', 'lp_0629', 'lp_3538']"
IM-6,"['lp_2429', 'lp_2488a', 'lp_0917', 'lp_3344', 'lp_0346', 'lp_0406', 'lp_2432', 'lp_2625', 'lp_2488']"
IM-7,"['lp_1190', 'lp_1189', 'lp_1953', 'lp_2439', 'lp_3292', 'lp_3522', 'lp_1211', 'lp_3517', 'lp_1210', 'lp_1188', 'lp_1757', 'lp_3516', 'lp_3518', 'lp_1176', 'lp_3520', 'lp_3521']"
IM-8,"['lp_0665', 'lp_2413', 'lp_2402', 'lp_0645', 'lp_0647', 'lp_2424', 'lp_2401', 'lp_0666', 'lp_0679', 'lp_2423', 'lp_2445', 'lp_0662', 'lp_2437', 'lp_0670', 'lp_0671', 'lp_2415', 'lp_3383', 'lp_2436', 'lp_0664', 'lp_2447', 'lp_0659', 'lp_3079', 'lp_2404', 'lp_0677', 'lp_0649', 'lp_2420', 'lp_2431', 'lp_2407', 'lp_0669', 'lp_2439', 'lp_2419', 'lp_2432', 'lp_3387', 'lp_2429', 'lp_2434', 'lp_0663', 'lp_3380', 'lp_2400', 'lp_3080', 'lp_3388', 'lp_0638', 'lp_0660', 'lp_0672', 'lp_2418', 'lp_0653', 'lp_0637', 'lp_0658', 'lp_2406', 'lp_2004', 'lp_0667', 'lp_2416', 'lp_2412', 'lp_2428', 'lp_3379', 'lp_2409', 'lp_2446', 'lp_0654', 'lp_0684', 'lp_2444', 'lp_2427', 'lp_2417', 'lp_3388a', 'lp_3382', 'lp_2442', 'lp_3378', 'lp_0651', 'lp_2399', 'lp_2435', 'lp_0680', 'lp_0673', 'lp_2411', 'lp_2414', 'lp_3381', 'lp_3385', 'lp_2425', 'lp_2410', 'lp_2440', 'lp_0668', 'lp_2403', 'lp_2405', 'lp_2430', 'lp_2441', 'lp_2408']"
IM-9,"['lp_3646', 'lp_3630', 'lp_0431', 'lp_3643', 'lp_3637', 'lp_2876', 'lp_0430', 'lp_3631', 'lp_3634', 'lp_3647', 'lp_3642', 'lp_3290', 'lp_3640', 'lp_3629', 'lp_3639', 'lp_0245', 'lp_3632', 'lp_3644', 'lp_3633', 'lp_1230', 'lp_3645', 'lp_1693a', 'lp_1229', 'lp_3291', 'lp_3638', 'lp_3635']"
IM-10,"['lp_3501', 'lp_0267', 'lp_2566', 'lp_2003', 'lp_3581a', 'lp_1995', 'lp_1757', 'lp_2002', 'lp_3500', 'lp_2004', 'lp_2011', 'lp_3503']"
