locus_tag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
lp_0001,-0.010955192,0.01556537,0.001185255,0.014415094,-0.00616011,-0.01455992,0.007333497,-0.004596908,0.002504071,0.015713489,-0.010814815,0.000855267,-0.004761149,0.01237724,-0.008601908,0.001031462,0.00230801,0.004553549,0.014898094,-0.01256128,-0.002929631,0.002599294,-0.006667966,-0.01550452,-0.011221546,-0.016321842,0.009272624,-0.001484331,0.0047591,0.005102378,-0.014863028,0.018831145,-0.004548982,0.007164566,-0.005395984,0.000722289,0.007400644,-0.019758907,0.038098512,-0.017134275,-0.000303224,-0.003882059,-0.000120856,0.007071934,-0.004740172,-0.012251855,0.000173948,0.008192033,0.005186734,-0.011211961,-0.002919541,0.009864841,0.000365903
lp_0002,-0.010444418,0.011998765,-0.004887285,-0.000320248,-0.005773336,-0.018920362,0.010970708,0.000707935,0.000289362,0.006100981,-0.000325931,0.000270008,0.003438005,0.000572023,-0.001626626,0.005463811,0.001562904,0.001175291,0.017369548,0.001578694,-0.006832551,-0.009831441,-0.013975848,-0.000615384,-0.014048607,-0.012960084,0.0034539,-0.006546068,0.00712371,0.024324424,-0.019704053,0.006737097,0.000564551,0.00478731,0.001163596,-0.002661633,0.014185525,0.020326694,0.038975638,-0.023490847,-0.002396749,0.000796256,-0.012490589,0.010084694,-0.003102877,-0.009175278,-0.000343539,0.007505896,0.003017737,-0.000854364,-0.011854563,0.012237072,0.002598302
lp_0004,-0.009773143,-0.011255074,0.004332759,0.017806031,0.008512428,-0.014401513,-0.004505569,-0.007359655,-0.003481585,9.99E-05,-0.032042108,0.003853775,-0.019234204,-0.004322658,0.006949393,-0.036270456,-0.014036026,-0.012947064,0.013615041,-0.009701954,0.017069851,-0.008937765,-0.000151356,-0.005086327,0.003066835,0.001037572,0.014298767,-0.006337784,0.007544646,-0.007759517,0.005470766,-0.003426927,0.008316363,0.00284467,-0.004577337,-0.008918959,-0.006480983,0.000410441,-0.016193899,6.41E-06,0.0008091,-0.031264683,-0.00274491,-0.010995521,-0.020875922,-0.002905668,0.015273872,-0.011290532,0.009867998,-0.004081666,0.03149199,-0.014444237,-0.004564385
lp_0005,-0.006035477,-0.000113227,-0.00011362,0.015300113,0.003395331,-0.004838703,-0.007520373,-0.000810652,-0.002298998,-0.000770406,-0.016272844,0.00529918,-0.018695401,-0.007332475,-0.001365,-0.015484229,-0.005993316,-0.001161256,-0.000281946,-0.023299822,0.003511805,0.012665097,-0.003997922,0.005711136,-0.000835321,-0.002530611,0.006809153,-0.008180921,0.014078128,0.014999809,-0.011418896,-0.005322411,-0.003262402,-0.002391934,0.001081728,0.000961483,-0.013259858,-0.001005174,-0.016738053,0.0142543,0.004764783,-0.029371173,0.007325582,-0.007836167,-0.011801075,-0.009161994,0.007976371,-0.011563558,0.014345041,0.004932205,-0.003586441,0.004482768,-0.004252259
lp_0006,-0.0029538,0.004996538,0.003493227,-0.003482858,0.00633419,-0.001872774,-0.006024698,-0.003633844,0.000303641,0.002184128,-0.011276395,0.006811474,-0.011251796,-0.003746554,-0.001539912,-0.012707072,-0.002715023,-0.004326829,0.002337942,-0.00842928,0.004545296,-0.003901804,-0.001856829,0.01110144,-0.002404099,0.002129394,-3.54E-05,-0.005814427,0.007141661,0.004431553,0.002895459,-0.014525108,0.003289542,-0.00179465,0.001967918,0.00441912,-0.005534709,0.010407899,-0.011583501,0.004032817,0.003012848,-0.012621362,0.011078648,-0.004834284,-0.004404373,-0.004241209,0.010444509,-0.014227148,0.019540199,0.001536477,-0.013938291,-0.004802528,-0.00684427
lp_0007,0.002244595,-0.003689799,0.008363173,0.001826976,0.000800688,0.002929396,-0.00462606,-0.002493787,0.000513918,0.002767603,-0.010112417,0.008786633,-0.010476762,6.52E-05,0.001984949,-0.004264995,-0.003651193,-0.001803871,-0.007260637,0.002821343,0.000923192,-0.011003987,-0.008176942,0.001876376,0.004336671,0.007776619,0.008835444,-0.009567214,-0.010480254,0.012456839,-0.003479132,-0.01400773,-0.00337125,-0.004857716,-0.004349159,0.012729016,-0.011361865,0.007594547,-0.017310799,0.002873307,0.002018453,-0.006121514,0.006082118,-0.009865346,-0.001503227,0.001197098,0.008535666,-0.004151679,0.002508993,-0.001764096,0.010177767,-0.016342693,-0.000711312
lp_0009,-0.006137268,0.002871268,0.004196591,0.005359722,0.005217741,-0.002132891,0.00169956,-0.009647261,-0.00627505,0.015423045,-0.006090429,0.011546563,0.003847777,-0.005766701,0.002875595,0.002301785,-0.002338382,-0.007626163,-0.000763818,0.035803919,-0.007088189,0.006854585,-0.009455257,0.00582759,0.003499938,-0.003765469,0.001102099,0.005401971,-0.002713824,-0.015498876,-0.015589678,-0.003804088,0.033817665,0.001178602,0.008654099,0.005512396,0.010830034,0.004418251,-0.006730284,0.008409017,0.00135175,-0.009274625,-0.00557095,-0.010664684,-0.004460363,-0.0084423,-0.004227338,0.012449241,-0.016445819,-0.008848886,-0.015495785,0.007618332,-0.012543867
lp_0010,-0.002523618,0.006822152,0.008792091,0.002050657,0.003358273,-0.001694325,0.005038909,-0.007913691,-0.006917906,0.013812797,-0.005560353,0.012583242,0.001743233,-0.004951515,0.00228845,0.007696366,-0.002168915,-0.005928385,-0.00139671,0.032655593,-0.008617278,0.004538813,-0.005005864,0.006245232,-0.000231448,-0.003622655,0.001609316,0.006044054,-0.003618962,-0.014556562,-0.011630498,-0.003313279,0.040908334,0.003813518,0.005577788,0.008980316,0.012948665,0.017417303,-0.003609948,0.007847657,0.005029597,-0.005175616,-0.006377297,-0.004282765,0.002205175,-0.007807909,-0.000904237,0.01410658,-0.015610385,-0.000356187,-0.024688707,0.014033374,-0.007046552
lp_0011,-6.23E-05,0.005223278,0.008819902,0.002200445,0.002693173,-0.000626391,0.003866886,-0.007743381,-0.003452242,0.012191603,-0.006033163,0.014011398,-0.000421773,0.001227239,0.005795736,0.004664574,-0.008672018,-0.00486334,-0.005099359,0.030666222,-0.003888103,0.005211776,-0.018361562,0.009018276,-0.000276,-0.005004714,-0.002489917,0.00373601,-0.001969109,-0.009777246,-0.011414321,-0.012610994,0.040210198,-0.001406136,0.005933863,0.0082253,0.00991229,0.015650851,0.001375886,0.010290941,0.003681717,-0.00705057,-0.005452616,-0.011735963,-0.009603259,-0.010142987,-0.001528108,0.00687079,-0.017026435,-0.009609161,-0.016179274,0.016677843,-0.006222082
lp_0012,0.000222091,0.001241291,-0.012803457,-0.002429969,0.003977239,-0.01533585,-0.00318785,-0.00250769,-0.005307133,0.009405634,-0.01430459,-0.004202574,0.00321312,-0.001492061,-0.005794825,-0.013707416,-0.002523753,0.005169637,-0.001382294,-0.000722337,-0.019343959,-0.004488914,0.011694045,-0.003019403,0.012439993,-0.013238443,-0.011600704,-0.001235188,0.000831943,-0.005103892,0.013279231,0.006598021,-0.007711793,-0.002278532,0.001382499,-0.00376923,-0.004699625,-0.017758282,-0.008997407,0.002939647,0.011888915,-0.004583597,0.003564374,0.002811238,0.001180891,-0.007070101,0.006085084,-0.001763885,0.008238865,0.003027526,0.00266358,-0.003245998,0.001259709
