gene,rxn
lp_0016,GLU5K
lp_0017,G5SD
lp_0020,GLCS1
lp_0021,GLGC
lp_0022,GLGC
lp_0023,GLCS1
lp_0024,GLCP
lp_0025,GLCP
lp_0027,PGMT_B
lp_0028,MLTP4
lp_0047,ALDD8x
lp_0047,ALDD2x
lp_0055,SUCD3BC
lp_0066,PGMT_B
lp_0070,HP3MO
lp_0104,LacR
lp_0105,LacR
lp_0106,LacR
lp_0107,LacR
lp_0109,LacR
lp_0113,HETZK
lp_0114,HMPK1
lp_0114,PMPK
lp_0115,TMPPP
lp_0125,PUNP2
lp_0125,PUNP4
lp_0125,DURIPP
lp_0125,PUNP6
lp_0125,PUNP1
lp_0125,PUNP3
lp_0125,PUNP5
lp_0125,PUNP7
lp_0166,DHAPT
lp_0168,DHAPT
lp_0169,DHAPT
lp_0170,DHAPT
lp_0171,DHAt
lp_0174,MALT
lp_0175,MALTabc
lp_0176,MALTabc
lp_0177,MALTabc
lp_0178,MALTabc
lp_0180,MALTabc
lp_0181,MLTP4
lp_0185,SUCpts
lp_0187,FFSD
lp_0203,PGCD
lp_0204,PSERT
lp_0205,PGM
lp_0210,ACKr
lp_0220,GSHPO
lp_0226,G6PDA
lp_0230,MNLpts
lp_0232,MNLpts
lp_0233,M1PD
lp_0242,NDPK8
lp_0242,NDPK2
lp_0242,NDPK7
lp_0242,NDPK9
lp_0242,NDPK1
lp_0242,NDPK3
lp_0242,NDPK5
lp_0242,NDPK6
lp_0242,NDPK4
lp_0253,DDGLK
lp_0254,SERAT
lp_0255,CYSTL
lp_0255,CYSTGL
lp_0256,CYSS
lp_0263,TRE6PH
lp_0264,TREpts
lp_0265,TREpts
lp_0267,G3PCT
lp_0268,CGPT
lp_0269,CGPT
lp_0271,OPHBDC
lp_0291,LOXD
lp_0293,GTPDPK
lp_0310,ACKr
lp_0313,NADH4
lp_0315,PTRCabc
lp_0315,SPMDabc
lp_0316,PTRCabc
lp_0316,SPMDabc
lp_0317,PTRCabc
lp_0317,SPMDabc
lp_0318,PTRCabc
lp_0318,SPMDabc
lp_0329,ACALD
lp_0330,FBA
lp_0337,ACCOAC
lp_0339,SDPTA
lp_0343,CRPT_25
lp_0344,CRPT_25
lp_0349,NH3t
lp_0350,2HXICDH
lp_0354,RPI
lp_0362,ACCOAC
lp_0363,GNNUC
lp_0363,INSH
lp_0363,XTSNH
lp_0363,ADNUC
lp_0367,GLYBabc
lp_0367,CHLabc
lp_0368,GLYBabc
lp_0368,CHLabc
lp_0369,GTHRD
lp_0370,GLYK
lp_0371,G3PO
lp_0372,GLYCt1
lp_0399,LEUt2r
lp_0399,ILEt2r
lp_0434,TRPTRS
lp_0440,BGLA1
lp_0446,EPPP
lp_0447,HMGCOAR
lp_0454,METTRS
lp_0460,CDPMEK
lp_0467,G1PACT
lp_0467,UAGDP
lp_0471,PRPPS
lp_0481,CTPS2
lp_0481,CTPS1
lp_0487,AGPR
lp_0488,ACGK
lp_0488,ACODA
lp_0497,DRPA
lp_0498,DRIBt2
lp_0498,FUCt
lp_0500,RBK
lp_0500,DRBK
lp_0501,SERTRS
lp_0502,SERt2r
lp_0505,SERD_L
lp_0506,SERD_L
lp_0510,UAGCVT
lp_0518,UGMDDS2
lp_0522,ACPS2
lp_0523,ALAR
lp_0526,CBPS
lp_0527,CBPS
lp_0528,AGPR
lp_0529,ORNTAC
lp_0530,ACGK
lp_0531,ACOTA
lp_0532,OCBT
lp_0537,LDH_L
lp_0546,HXPRT
lp_0546,GUAPRT
lp_0550,LYSTRS
lp_0561,P5CRr
lp_0562,AGDC
lp_0564,UNAGAMAMT
lp_0565,NAPRT
lp_0566,NADS1
lp_0571,HSDy
lp_0572,HSK
lp_0575,MANpts
lp_0576,MANpts
lp_0577,MANpts
lp_0579,ASP1DC
lp_0586,MANpts
lp_0587,MANpts
lp_0588,kaasIII
lp_0589,ACCOAC
lp_0590,ACCOAC
lp_0591,ACCOAC
lp_0592,ACCOAC
lp_0594,CITt2r
lp_0594,MALt2r
lp_0597,PGM
lp_0602,RPI
lp_0604,DUTPDP
lp_0609,GLUTRS
lp_0610,CYSTRS
lp_0690,LPGS_LPL
lp_0692,RNDR4
lp_0692,RNDR3
lp_0692,RNDR2
lp_0692,RNDR1
lp_0693,RNDR4
lp_0693,RNDR3
lp_0693,RNDR2
lp_0693,RNDR1
lp_0696,ADA
lp_0696,CSND
lp_0703,DTMPK
lp_0709,UDPG4E
