		MRS broth		Tomato juice			Wheat flour hydrolyzate			Pineapple juice			Drosophila sp. Extract			Faecal extract						Bee Extract			Olive Extract			Cheese broth	MRS broth								
GeneSymbol	GeneName	WCFS1_MRS	LB16_MRS	TJ22	TJ20	TJ19	WFH19	WFH20	WFH1W	PJ16	PJ20	PJ1	DE12	DE12II	DE24	FEO3	FEO13	FEO17	FEV3	FEV11	FEV21	BEE1ST	BEE2ST	BEE3ST	OE1	OE2	OE3	CB5	FEV11_MRS	FEO3_MRS	DE12_MRS	CB5_MRS	OE1_MRS	WFH19_MRS	TJ22_MRS	PJ16_MRS	BEE1ST_MRS
gene:CAG17825	repA	190.549	0	0	0	0	0.282865	0	0	0	0	0	0	0	0	0	0	0	11.1769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:CAG17826	orf2	59.9286	0	0	0	0	0	0	246.269	0	0	0	0	0	0	0	1.49143	0	0	0	0.815359	0	0	0	0.255252	0	0	33.7182	0	0	0	3.90913	0	0	0	0	0
gene:CAG17827	orf3	116.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6878	11.7266	100.375	31.4381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:CAG17828	repB	357.248	0	0	0	0.361062	0	0	0	0	0	0	0	0	0	0	0	0	78.0354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:CAG17829	orf2	203.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:CAG17830	orf3	177.816	0	0	0	0	0	0	3.52713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51856	0	0	0	0	0	0	0	0	0
gene:CAG17831	repA	247.696	0	0	0	0.749374	0	0	0	0	0	0	0	0	0	0	0	0	26.9934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:CAG17832	orf1	1023.55	2279.36	0	2902.4	5.91527	0	0.571531	486.069	0	711.176	739.77	0	6.03367	0	13960.3	139792	28796.5	585.957	28279.5	24104.2	4.88554	0.910088	1.44464	478.872	1210.48	382.374	6.04192	2724.01	6505.51	0.739852	2.82148	1044.62	1.38023	0.189207	0	2.9548
gene:CAG17833	repA	58.6965	126.013	0	1.96863	0	0	0	43.079	0	13.1966	17.7978	0	1.22366	0	11.2997	68.1135	559.849	13.8898	503.808	482.922	0	0	0	88.4015	0	0	28.0712	55.918	6.77386	10.2406	4.43463	32.5397	0	0	0	0
gene:CAG17834	orf3	1100.21	1257.92	0	0	4.65152	0.407733	0	838.512	0	33.3969	38.5352	0	8.51599	0	330.288	2754	3639.9	128.887	3675.04	3224.64	0	0.924846	0.271864	0.563394	876.947	946.419	587.476	322.858	92.0112	0	238.671	0.107073	0	0.16023	0	0.178733
gene:CAG17835	repB	62.1071	0	0	0	0	0	0	176.122	0	240.195	264.105	0	0	0	0	44.6144	0	2.67912	0	0	0	0	0	0	0	0	64.0069	0	0	0.086824	47.9006	0	0	0	0	0
gene:CAG17836	orf5	82.6767	0	0	0	0	0	0	243.945	0	281.99	263.225	0	0	0	0	63.0862	0	6.11388	0	0	0	0.292473	0	0	0	0	105.468	0	0	0	130.343	0	0	0	0	0
gene:CAG17837	orf6	217.519	0	0	0	0	0	0	2.22079	0	1.52554	1.50879	77.0474	55.2383	0	35.922	292.32	513.09	0	818.096	376.837	0	0.21123	0	0	265.609	38.1411	4.46193	0.790062	88.1527	50.8001	3.09241	0.146729	0	0	0	0
