	LP.1	LP.2	LP.3	LP.4	LP.5	LP.6	LP.7	LP.8	LP.9	LP.10	LP.11	LP.12	eo1	eo2	eo3	eo4	eo5	eo6	eo9	eo10	eo17	eo18
gene-lp_0001	1931	1655	992	1030	1180	2306	2046	2196	786	834	1103	947	2875	3529	837	530	343	361	422	389	617	510
gene-lp_0002	3475	2736	2746	3027	2638	2805	2849	2895	2957	3491	2509	2319	3402	3936	1900	1326	1013	1179	981	758	1690	1287
gene-lp_0004	1052	744	264	315	627	465	593	558	393	338	334	268	301	456	338	248	109	167	325	208	249	159
gene-lp_0005	586	384	150	155	349	410	1163	1118	363	262	365	346	342	504	383	171	103	233	411	243	209	187
gene-lp_0006	776	479	655	664	1039	996	4188	3809	1444	1125	655	757	504	666	546	168	180	513	1035	538	314	296
gene-lp_0007	5098	3394	3432	3655	4479	3661	6250	5395	4147	4208	3389	3589	2962	4200	2012	1425	1205	1863	2642	1778	3462	2264
gene-lp_0009	3132	1337	894	952	1477	2378	3986	3118	2487	1555	1487	1157	2971	4455	1017	512	417	751	884	701	461	362
gene-lp_0010	7384	2778	2062	2073	3237	5304	7388	6094	6041	3507	3044	2596	5827	9094	2027	1055	972	1683	1984	1675	1022	758
gene-lp_0011	3589	1350	982	1027	1564	2564	3643	2892	2861	1681	1456	1302	2599	4438	941	515	487	832	929	804	513	414
gene-lp_0012	1261	671	778	829	1887	2346	3007	2786	1062	951	976	1012	1438	2348	771	362	359	716	1252	813	446	350
gene-lp_0013	562	308	406	456	922	938	1477	1391	617	493	537	552	677	970	416	226	165	346	589	340	220	173
gene-lp_0014	637	316	508	580	1020	962	2923	2581	826	686	514	593	555	777	444	222	166	461	589	362	229	215
gene-lp_0015	29	13	25	33	71	65	241	182	53	37	20	33	57	82	38	12	12	21	43	24	11	10
gene-lp_0016	37	37	26	36	41	46	235	180	26	27	17	20	84	88	28	7	17	35	26	18	10	10
gene-lp_0017	180	85	145	160	271	217	452	404	180	142	155	163	137	202	150	95	61	133	87	70	100	58
gene-lp_0018	18	10	86	71	95	112	83	116	30	32	102	106	208	285	17	11	10	22	64	29	8	16
