Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,isolation_source,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR7276129,RNA-Seq,150,3532980450,PRJNA475032,SAMN09378938,1423310904,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179736,GSM3178354,NextSeq 500,Bee extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:02:00Z,1,GSM3178354,Bee extract,SRP149975,BEE1ST
SRR7276130,RNA-Seq,150,4107607500,PRJNA475032,SAMN09378937,1636242770,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179737,GSM3178355,NextSeq 500,Bee extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:05:00Z,1,GSM3178355,Bee extract,SRP149975,BEE2ST
SRR7276131,RNA-Seq,150,4062448050,PRJNA475032,SAMN09378936,1605184646,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179738,GSM3178356,NextSeq 500,Bee extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:02:00Z,1,GSM3178356,Bee extract,SRP149975,BEE3ST
SRR7276132,RNA-Seq,150,4010810850,PRJNA475032,SAMN09378935,1671322182,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179739,GSM3178357,NextSeq 500,Drosophila sp. Extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:08:00Z,1,GSM3178357,Drosophila sp. Extract,SRP149975,DE12
SRR7276133,RNA-Seq,150,3949151100,PRJNA475032,SAMN09378934,1552659860,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179740,GSM3178358,NextSeq 500,Drosophila sp. Extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:02:00Z,1,GSM3178358,Drosophila sp. Extract,SRP149975,DE12II
SRR7276134,RNA-Seq,150,4050774450,PRJNA475032,SAMN09378933,1686833466,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179741,GSM3178359,NextSeq 500,Drosophila sp. Extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:13:00Z,1,GSM3178359,Drosophila sp. Extract,SRP149975,DE24
SRR7276135,RNA-Seq,150,3537986118,PRJNA475032,SAMN09378932,1288376230,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179742,GSM3178360,NextSeq 500,Faecal extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:06:00Z,1,GSM3178360,Faecal extract,SRP149975,FEO3
SRR7276136,RNA-Seq,150,3333316830,PRJNA475032,SAMN09378931,1201496682,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179743,GSM3178361,NextSeq 500,Faecal extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:03:00Z,1,GSM3178361,Faecal extract,SRP149975,FEV3
SRR7276137,RNA-Seq,150,3866254950,PRJNA475032,SAMN09378930,1555369756,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179744,GSM3178362,NextSeq 500,Faecal extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:02:00Z,1,GSM3178362,Faecal extract,SRP149975,FEO13
SRR7276138,RNA-Seq,150,3493861500,PRJNA475032,SAMN09378929,1406641363,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4179745,GSM3178363,NextSeq 500,Faecal extract,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-11-14T00:00:00Z,2018-06-07T09:03:00Z,1,GSM3178363,Faecal extract,SRP149975,FEO17
