Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time,create_date,version
SRR8349564,RNA-Seq,119,143556488,PRJNA510617,SAMN10612054,83648673,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160563,GSM3519653,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519653,culture,SRP173807,WCSF1,1 h,2018-12-18T15:10:00Z,1
SRR8349565,RNA-Seq,119,161971162,PRJNA510617,SAMN10612053,94714004,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160564,GSM3519654,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519654,culture,SRP173807,WCSF1,4 h,2018-12-18T15:11:00Z,1
SRR8349566,RNA-Seq,119,158235059,PRJNA510617,SAMN10612051,93851297,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160565,GSM3519655,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519655,culture,SRP173807,WCSF1,7 h,2018-12-18T15:11:00Z,1
SRR8349567,RNA-Seq,119,115643299,PRJNA510617,SAMN10612050,68603934,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160566,GSM3519656,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519656,culture,SRP173807,WCSF1,1 h,2018-12-18T15:11:00Z,1
SRR8349568,RNA-Seq,119,158057295,PRJNA510617,SAMN10612048,91878530,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160567,GSM3519657,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519657,culture,SRP173807,WCSF1,4 h,2018-12-18T15:11:00Z,1
SRR8349569,RNA-Seq,119,161832792,PRJNA510617,SAMN10612047,95233315,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160568,GSM3519658,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519658,culture,SRP173807,WCSF1,7 h,2018-12-18T15:11:00Z,1
SRR8349570,RNA-Seq,119,156489991,PRJNA510617,SAMN10612046,91105436,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160569,GSM3519659,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519659,culture,SRP173807,WCSF1,1 h,2018-12-18T15:11:00Z,1
SRR8349571,RNA-Seq,119,150906420,PRJNA510617,SAMN10612045,92114797,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160570,GSM3519660,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519660,culture,SRP173807,WCSF1,4 h,2018-12-18T15:11:00Z,1
SRR8349572,RNA-Seq,119,149741499,PRJNA510617,SAMN10612044,88087855,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160571,GSM3519661,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519661,culture,SRP173807,WCSF1,7 h,2018-12-18T15:11:00Z,1
SRR8349573,RNA-Seq,119,158182296,PRJNA510617,SAMN10612043,93580247,GEO,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5160572,GSM3519662,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Lactobacillus plantarum,ILLUMINA,2018-12-21T00:00:00Z,GSM3519662,culture,SRP173807,WCSF1,1 h,,
