# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	1	1368	+					dnaA		LP_RS00005	1368		old_locus_tag=lp_0001
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	1	1368	+	WP_003641628.1	WP_003641628.1		chromosomal replication initiator protein DnaA	dnaA		LP_RS00005	1368	455	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	1546	2685	+					dnaN		LP_RS00010	1140		old_locus_tag=lp_0002
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	1546	2685	+	WP_003641629.1	WP_003641629.1		DNA polymerase III subunit beta	dnaN		LP_RS00010	1140	379	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	3210	3443	+					yaaA		LP_RS00015	234		old_locus_tag=lp_0004
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	3210	3443	+	WP_003641630.1	WP_003641630.1		S4 domain-containing protein YaaA	yaaA		LP_RS00015	234	77	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	3444	4568	+					recF		LP_RS00020	1125		old_locus_tag=lp_0005
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	3444	4568	+	WP_003641631.1	WP_003641631.1		DNA replication/repair protein RecF	recF		LP_RS00020	1125	374	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	4565	6511	+					gyrB		LP_RS00025	1947		old_locus_tag=lp_0006
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	4565	6511	+	WP_003641632.1	WP_003641632.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		LP_RS00025	1947	648	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	6676	9237	+					gyrA		LP_RS00030	2562		old_locus_tag=lp_0007
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	6676	9237	+	WP_003641633.1	WP_003641633.1		DNA gyrase subunit A	gyrA		LP_RS00030	2562	853	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	9860	10159	+					rpsF		LP_RS00035	300		old_locus_tag=lp_0009
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	9860	10159	+	WP_003637271.1	WP_003637271.1		30S ribosomal protein S6	rpsF		LP_RS00035	300	99	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	10196	10798	+					ssb		LP_RS00040	603		old_locus_tag=lp_0010
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	10196	10798	+	WP_011100851.1	WP_011100851.1		single-stranded DNA-binding protein	ssb		LP_RS00040	603	200	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	10837	11073	+					rpsR		LP_RS00045	237		old_locus_tag=lp_0011
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	10837	11073	+	WP_003641635.1	WP_003641635.1		30S ribosomal protein S18	rpsR		LP_RS00045	237	78	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	11254	13266	+							LP_RS00050	2013		old_locus_tag=lp_0012
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	11254	13266	+	WP_003643610.1	WP_003643610.1		DHH family phosphoesterase			LP_RS00050	2013	670	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	13279	13731	+					rplI		LP_RS00055	453		old_locus_tag=lp_0013
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	13279	13731	+	WP_003641637.1	WP_003641637.1		50S ribosomal protein L9	rplI		LP_RS00055	453	150	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	13747	15171	+					dnaB		LP_RS00060	1425		old_locus_tag=lp_0014
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	13747	15171	+	WP_003641638.1	WP_003641638.1		replicative DNA helicase	dnaB		LP_RS00060	1425	474	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	15393	16616	+							LP_RS00065	1224		old_locus_tag=lp_0015
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	15393	16616	+	WP_003641639.1	WP_003641639.1		MFS transporter			LP_RS00065	1224	407	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	16638	17435	+					proB		LP_RS00070	798		old_locus_tag=lp_0016
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	16638	17435	+	WP_003643611.1	WP_003643611.1		glutamate 5-kinase	proB		LP_RS00070	798	265	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	17454	18692	+							LP_RS00075	1239		old_locus_tag=lp_0017
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	17454	18692	+	WP_003641641.1	WP_003641641.1		glutamate-5-semialdehyde dehydrogenase			LP_RS00075	1239	412	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	19153	20769	+							LP_RS00080	1617		old_locus_tag=lp_0018
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	19153	20769	+	WP_003641642.1	WP_003641642.1		peptide ABC transporter substrate-binding protein			LP_RS00080	1617	538	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	21120	23003	+					glgB		LP_RS00085	1884		old_locus_tag=lp_0020
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	21120	23003	+	WP_223843905.1	WP_223843905.1		1,4-alpha-glucan branching protein GlgB	glgB		LP_RS00085	1884	627	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	22993	24132	+							LP_RS00090	1140		old_locus_tag=lp_0021
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	22993	24132	+	WP_003641645.1	WP_003641645.1		glucose-1-phosphate adenylyltransferase			LP_RS00090	1140	379	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	24129	25301	+					glgD		LP_RS00095	1173		old_locus_tag=lp_0022
