Name,p1,p2,p3,m1,m2,m3,accession,Gene,Product
__alignment_not_unique,0,0,0,0,0,0,,,
__ambiguous,32590,58211,32904,45000,55624,58868,,,
__no_feature,139387,284579,148266,231172,280993,314547,,,
__not_aligned,73040,102351,67454,106077,103833,137197,,,
__too_low_aQual,33093,13241,7318,10959,17259,14917,,,
tot_feat,2520364,4305884,2442051,3580208,4028046,4527726,,,
rna feat,64601,193545,60955,158378,186114,155761,,,
lp_0001,2120,3886,2082,2270,2593,2971,NC_004567.2:1-1368,YP_004888094.1,chromosomal replication initiation protein DnaA
lp_0002,2688,4170,2518,2696,2958,3599,NC_004567.2:1546-2685,YP_004888095.1,DNA-directed DNA polymerase III subunit beta
lp_0004,194,563,191,498,558,608,NC_004567.2:3210-3443,YP_004888096.1,hypothetical protein
lp_0005,695,1231,641,1025,1352,1437,NC_004567.2:3444-4568,YP_004888097.1,DNA repair and genetic recombination protein RecF
lp_0006,2385,4355,2339,3644,4546,4715,NC_004567.2:4565-6511,YP_004888098.1,DNA gyrase subunit B
lp_0007,4389,7120,4082,6154,7162,7288,NC_004567.2:6676-9237,YP_004888099.1,DNA gyrase subunit A
lp_0009,2618,4741,2423,3944,3612,4762,NC_004567.2:9860-10159,YP_004888100.1,30S ribosomal protein S6
lp_0010,8129,13366,8185,11459,12886,14317,NC_004567.2:10196-10798,YP_004888101.1,single-strand DNA-binding protein
lp_0011,3659,5781,3616,5061,4414,5973,NC_004567.2:10837-11073,YP_004888102.1,30S ribosomal protein S18
lp_0012,2702,4887,2536,3502,4533,4549,NC_004567.2:11254-13266,YP_004888103.1,phosphoesterase%2C DHH family
lp_0013,755,1147,629,934,981,1207,NC_004567.2:13279-13731,YP_004888104.1,50S ribosomal protein L9
lp_0014,2038,3681,1971,2718,3014,3279,NC_004567.2:13747-15171,YP_004888105.1,replicative DNA helicase DnaC
lp_0015,141,295,166,239,301,269,NC_004567.2:15393-16616,YP_004888106.1,transport protein%2C major facilitator superfamily (MFS)
lp_0016,121,249,144,202,250,245,NC_004567.2:16638-17435,YP_004888107.1,glutamate 5-kinase
lp_0017,327,600,301,476,524,586,NC_004567.2:17454-18692,YP_004888108.1,glutamate-5-semialdehyde dehydrogenase
lp_0018,188,332,195,319,323,372,NC_004567.2:19153-20769,YP_004888109.1,oligopeptide ABC transporter%2Coligopeptide-binding protein
lp_0020,6,6,2,11,9,5,NC_004567.2:21099-23003,YP_004888110.1,1%2C4-alpha-glucan-branching protein
lp_0021,8,26,11,24,23,33,NC_004567.2:22993-24132,YP_004888111.1,glucose-1-P adenylyltransferase%2C enzymatic subunit
lp_0022,26,73,39,50,61,72,NC_004567.2:24129-25301,YP_004888112.1,glucose-1-P adenylyltransferase%2C regulatory subunit
lp_0023,66,124,46,100,94,114,NC_004567.2:25294-26733,YP_004888113.1,glycogen synthase%2C ADP-glucose transglycosylase
lp_0024,104,184,104,147,180,144,NC_004567.2:26753-29149,YP_004888114.1,glycogen phosphorylase
lp_0025,126,174,103,176,147,152,NC_004567.2:29167-30984,YP_004888115.1,maltodextrin glucosidase
lp_0026,1015,1955,977,1752,1855,2366,NC_004567.2:31317-32084,YP_004888116.1,hydrolase%2C HAD superfamily%2C Cof family
lp_0027,265,409,244,358,352,381,NC_004567.2:32236-32907,YP_004888117.1,beta-phosphoglucomutase
lp_0028,810,1279,750,954,1150,1267,NC_004567.2:32925-35645,YP_004888118.1,kojibiose-like phosphorylase%2C specific
lp_0030,338,590,352,471,470,666,NC_004567.2:36033-36482,YP_004888119.1,pyridoxamine 5'-phosphate oxidase family protein%2C FMN-binding
lp_0031,336,916,361,873,902,1148,NC_004567.2:36680-36880,YP_004888120.1,cold shock protein CspL
lp_0032,264,531,286,504,486,563,NC_004567.2:36972-37196,YP_004888121.1,hypothetical protein
lp_0036,607,1181,619,869,1009,1138,NC_004567.2:37770-38477,YP_004888122.1,two-component system response regulator
lp_0037,1425,2502,1306,1704,2133,2400,NC_004567.2:38491-40365,YP_004888123.1,two-component system histidine protein kinase%3B sensor protein
lp_0038,1042,1877,1006,1451,1665,1633,NC_004567.2:40346-41671,YP_004888124.1,regulator of two-component system%2C YycH family
lp_0039,716,1130,574,845,970,1065,NC_004567.2:41683-42537,YP_004888125.1,regulator of two-component system%2C YycI family
lp_0041,685,1452,682,1106,1293,1423,NC_004567.2:42895-43710,YP_004888126.1,Zn-dependent hydrolase%2C beta-lactamase superfamily
lp_0043,2000,3423,1922,3135,3378,3964,NC_004567.2:43821-45083,YP_004888127.1,serine protease HtrA
lp_0045,106,203,116,136,169,183,NC_004567.2:45638-46117,YP_004888128.1,ribosomal RNA large subunit methyltransferase H
lp_0046,46,66,31,52,70,77,NC_004567.2:46600-47175,YP_004888129.1,TetR family transcriptional regulator
lp_0047,14,53,23,34,42,53,NC_004567.2:47239-48669,YP_004888130.1,coniferyl aldehyde dehydrogenase
lp_0048,104,214,97,166,195,235,NC_004567.2:48877-49509,YP_004888131.1,uracil-DNA glycosylase family protein
lp_0050,29,47,26,37,33,46,NC_004567.2:49758-50408,YP_004888132.1,nitrobenzoate reductase
lp_0052,44,72,34,65,79,115,NC_004567.2:50524-50892,YP_004888133.1,6-pyruvoyl-tetrahydropterin synthase family protein
