# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1	1368	+					dnaA		lp_0001	1368		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1	1368	+	CCC77580.1			chromosomal replication initiation protein DnaA	dnaA		lp_0001	1368	455	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1546	2685	+					dnaN		lp_0002	1140		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1546	2685	+	CCC77581.1			DNA-directed DNA polymerase III, beta chain	dnaN		lp_0002	1140	379	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	3210	3443	+							lp_0004	234		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	3210	3443	+	CCC77582.1			hypothetical protein			lp_0004	234	77	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	3444	4568	+					recF		lp_0005	1125		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	3444	4568	+	CCC77583.1			DNA repair and genetic recombination protein RecF	recF		lp_0005	1125	374	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	4565	6511	+					gyrB		lp_0006	1947		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	4565	6511	+	CCC77584.1			DNA gyrase, B subunit	gyrB		lp_0006	1947	648	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	6676	9237	+					gyrA		lp_0007	2562		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	6676	9237	+	CCC77585.1			DNA gyrase, A subunit	gyrA		lp_0007	2562	853	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	9860	10159	+					rpsF		lp_0009	300		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	9860	10159	+	CCC77586.1			30S ribosomal protein S6	rpsF		lp_0009	300	99	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	10196	10798	+					ssb		lp_0010	603		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	10196	10798	+	CCC77587.1			single-strand DNA-binding protein	ssb		lp_0010	603	200	
